id,building_num,street,street_suffix,city,zip,block,lot,office_id
42342,131,AMITY,ST,BROOKLYN,11201,,,2
42343,138,AMITY,ST,BROOKLYN,11201,,,2
42344,141,AMITY,ST,BROOKLYN,11201,,,2
42345,145,AMITY,ST,BROOKLYN,11201,,,2
42346,147,AMITY,ST,BROOKLYN,11201,,,2
42347,155,AMITY,ST,BROOKLYN,11201,,,2
42348,173,AMITY,ST,BROOKLYN,11201,,,2
42349,174,AMITY,ST,BROOKLYN,11201,,,2
42350,176,AMITY,ST,BROOKLYN,11201,,,2
42351,177,AMITY,ST,BROOKLYN,11201,,,2
42352,181,AMITY,ST,BROOKLYN,11201,,,2
42353,182,AMITY,ST,BROOKLYN,11201,,,2
42354,184,AMITY,ST,BROOKLYN,11201,,,2
42355,186,AMITY,ST,BROOKLYN,11201,,,2
42356,188,AMITY,ST,BROOKLYN,11201,,,2
42357,122,ASHLAND,PL,BROOKLYN,11201,,,2
42358,148,ATLANTIC,AVE,BROOKLYN,11201,,,2
42359,224,ATLANTIC,AVE,BROOKLYN,11201,,,2
42360,284,ATLANTIC,AVE,BROOKLYN,11201,,,2
42361,288,ATLANTIC,AVE,BROOKLYN,11201,,,2
42362,302,ATLANTIC,AVE,BROOKLYN,11201,,,2
42363,307,ATLANTIC,AVE,BROOKLYN,11201,,,2
42364,85,ATLANTIC,AVE,BROOKLYN,11201,,,2
42365,88,ATLANTIC,AVE,BROOKLYN,11201,,,2
42366,90,ATLANTIC,AVE,BROOKLYN,11201,,,2
42367,92,ATLANTIC,AVE,BROOKLYN,11201,,,2
42368,93,ATLANTIC,AVE,BROOKLYN,11201,,,2
42369,99,ATLANTIC,AVE,BROOKLYN,11201,,,2
42370,102,BALTIC,ST,BROOKLYN,11201,,,2
42371,108,BALTIC,ST,BROOKLYN,11201,,,2
42372,110,BALTIC,ST,BROOKLYN,11201,,,2
42373,151,BALTIC,ST,BROOKLYN,11201,,,2
42374,159,BALTIC,ST,BROOKLYN,11201,,,2
42375,203,BALTIC,ST,BROOKLYN,11201,,,2
42376,311,BALTIC,ST,BROOKLYN,11201,,,2
42377,319,BALTIC,ST,BROOKLYN,11201,,,2
42378,362,BALTIC,ST,BROOKLYN,11201,,,2
42379,366,BALTIC,ST,BROOKLYN,11201,,,2
42380,368,BALTIC,ST,BROOKLYN,11201,,,2
42381,372,BALTIC,ST,BROOKLYN,11201,,,2
42382,96,BALTIC,ST,BROOKLYN,11201,,,2
42383,98,BALTIC,ST,BROOKLYN,11201,,,2
42384,101,BERGEN,ST,BROOKLYN,11201,,,2
42385,105,BERGEN,ST,BROOKLYN,11201,,,2
42386,122,BERGEN,ST,BROOKLYN,11201,,,2
42387,95,BERGEN,ST,BROOKLYN,11201,,,2
42388,97,BERGEN,ST,BROOKLYN,11201,,,2
42389,107,BOERUM,PL,BROOKLYN,11201,,,2
42390,129,BOERUM,PL,BROOKLYN,11201,,,2
42391,199,BRIDGE,ST,BROOKLYN,11201,,,2
42392,50,CLARK,ST,BROOKLYN,11201,,,2
42393,60,CLARK,ST,BROOKLYN,11201,,,2
42394,62,CLARK,ST,BROOKLYN,11201,,,2
42395,64,CLARK,ST,BROOKLYN,11201,,,2
42396,66,CLARK,ST,BROOKLYN,11201,,,2
42397,150,CLINTON,ST,BROOKLYN,11201,,,2
42398,156,CLINTON,ST,BROOKLYN,11201,,,2
42399,169,CLINTON,ST,BROOKLYN,11201,,,2
42400,172,CLINTON,ST,BROOKLYN,11201,,,2
42401,173,CLINTON,ST,BROOKLYN,11201,,,2
42402,211,CLINTON,ST,BROOKLYN,11201,,,2
42403,212,CLINTON,ST,BROOKLYN,11201,,,2
42404,231,CLINTON,ST,BROOKLYN,11201,,,2
42405,265,CLINTON,ST,BROOKLYN,11201,,,2
42406,286,CLINTON,ST,BROOKLYN,11201,,,2
42407,288,CLINTON,ST,BROOKLYN,11201,,,2
42408,290,CLINTON,ST,BROOKLYN,11201,,,2
42409,302,CLINTON,ST,BROOKLYN,11201,,,2
42410,40,CLINTON,ST,BROOKLYN,11201,,,2
42411,115,COLUMBIA,ST,BROOKLYN,11201,,,2
42412,141,COLUMBIA,HTS,BROOKLYN,11201,,,2
42413,146,COLUMBIA,HTS,BROOKLYN,11201,,,2
42414,147,COLUMBIA,HTS,BROOKLYN,11201,,,2
42415,15,COLUMBIA,PL,BROOKLYN,11201,,,2
42416,150,COLUMBIA,HTS,BROOKLYN,11201,,,2
42417,161,COLUMBIA,HTS,BROOKLYN,11201,,,2
42418,17,COLUMBIA,PL,BROOKLYN,11201,,,2
42419,173,COLUMBIA,HTS,BROOKLYN,11201,,,2
42420,187,COLUMBIA,HTS,BROOKLYN,11201,,,2
42421,19,COLUMBIA,PL,BROOKLYN,11201,,,2
42422,20,COLUMBIA,PL,BROOKLYN,11201,,,2
42423,21,COLUMBIA,PL,BROOKLYN,11201,,,2
42424,38,COLUMBIA,PL,BROOKLYN,11201,,,2
42425,40,COLUMBIA,PL,BROOKLYN,11201,,,2
42426,42,COLUMBIA,PL,BROOKLYN,11201,,,2
42427,44,COLUMBIA,PL,BROOKLYN,11201,,,2
42428,133,CONCORD,ST,BROOKLYN,11201,,,2
42429,109,CONGRESS,ST,BROOKLYN,11201,,,2
42430,167,CONGRESS,ST,BROOKLYN,11201,,,2
42431,171,CONGRESS,ST,BROOKLYN,11201,,,2
42432,175,CONGRESS,ST,BROOKLYN,11201,,,2
42433,177,CONGRESS,ST,BROOKLYN,11201,,,2
42434,183,CONGRESS,ST,BROOKLYN,11201,,,2
42435,223,CONGRESS,ST,BROOKLYN,11201,,,2
42436,155,COURT,ST,BROOKLYN,11201,,,2
42437,156,COURT,ST,BROOKLYN,11201,,,2
42438,157,COURT,ST,BROOKLYN,11201,,,2
42439,171,COURT,ST,BROOKLYN,11201,,,2
42440,181,COURT,ST,BROOKLYN,11201,,,2
42441,191,COURT,ST,BROOKLYN,11201,,,2
42442,194,COURT,ST,BROOKLYN,11201,,,2
42443,196,COURT,ST,BROOKLYN,11201,,,2
42444,198,COURT,ST,BROOKLYN,11201,,,2
42445,200,COURT,ST,BROOKLYN,11201,,,2
42446,213,COURT,ST,BROOKLYN,11201,,,2
42447,84,COURT,ST,BROOKLYN,11201,,,2
42448,15,CRANBERRY,ST,BROOKLYN,11201,,,2
42449,66,CRANBERRY,ST,BROOKLYN,11201,,,2
42450,80,CRANBERRY,ST,BROOKLYN,11201,,,2
42451,128,DEAN,ST,BROOKLYN,11201,,,2
42452,16,DEAN,ST,BROOKLYN,11201,,,2
42453,82,DEAN,ST,BROOKLYN,11201,,,2
42454,43,DUFFIELD,ST,BROOKLYN,11201,,,2
42455,126,FRONT,ST,BROOKLYN,11201,,,2
42456,44,GARDEN,PL,BROOKLYN,11201,,,2
42457,49,GARDEN,PL,BROOKLYN,11201,,,2
42458,8,GARDEN,PL,BROOKLYN,11201,,,2
42459,109,GOLD,ST,BROOKLYN,11201,,,2
42460,277,GOLD,ST,BROOKLYN,11201,,,2
42461,27,GRACE,CT,BROOKLYN,11201,,,2
42462,115,HENRY,ST,BROOKLYN,11201,,,2
42463,117,HENRY,ST,BROOKLYN,11201,,,2
42464,121,HENRY,ST,BROOKLYN,11201,,,2
42465,133,HENRY,ST,BROOKLYN,11201,,,2
42466,140,HENRY,ST,BROOKLYN,11201,,,2
42467,142,HENRY,ST,BROOKLYN,11201,,,2
42468,144,HENRY,ST,BROOKLYN,11201,,,2
42469,145,HENRY,ST,BROOKLYN,11201,,,2
42470,152,HENRY,ST,BROOKLYN,11201,,,2
42471,236,HENRY,ST,BROOKLYN,11201,,,2
42472,248,HENRY,ST,BROOKLYN,11201,,,2
42473,252,HENRY,ST,BROOKLYN,11201,,,2
42474,254,HENRY,ST,BROOKLYN,11201,,,2
42475,256,HENRY,ST,BROOKLYN,11201,,,2
42476,268,HENRY,ST,BROOKLYN,11201,,,2
42477,269,HENRY,ST,BROOKLYN,11201,,,2
42478,272,HENRY,ST,BROOKLYN,11201,,,2
42479,273,HENRY,ST,BROOKLYN,11201,,,2
42480,277,HENRY,ST,BROOKLYN,11201,,,2
42481,279,HENRY,ST,BROOKLYN,11201,,,2
42482,296,HENRY,ST,BROOKLYN,11201,,,2
42483,305,HENRY,ST,BROOKLYN,11201,,,2
42484,316,HENRY,ST,BROOKLYN,11201,,,2
42485,46,HENRY,ST,BROOKLYN,11201,,,2
42486,62,HENRY,ST,BROOKLYN,11201,,,2
42487,84,HENRY,ST,BROOKLYN,11201,,,2
